age_bracket,travelling_with,female_count,male_count,key_activity,trip_purpose,first_time_visitor,mainland_nights,island_nights,tour_arrangement,transport_package_international,source_of_info,package_accomodation,food_package,transport_package_mx,sightseeing_package,guided_tour_package,insurance_package,days_before_booked,weather_at_arrival,tour_length,special_requirements,total_travellers,spending,total_nights,booked_late,ratio,category
35,2,1.0,1.0,3,5,1,3,6,1,1,5,0,2,1,1,1,2,100,3,10,1,2.0,10.49669737,9,0,1.0,0.0
21,3,2.0,1.0,5,5,1,50,5,0,0,4,0,0,0,0,0,0,75,3,10,1,3.0,10.49669737,55,0,0.5,0.0
35,3,1.0,1.0,3,5,1,4,4,1,0,5,2,2,1,1,1,0,75,2,22,1,2.0,8.356929506,8,0,1.0,0.0
21,3,1.0,1.0,1,5,1,8,2,1,1,5,2,2,0,1,0,0,75,2,22,1,2.0,10.49669737,10,0,1.0,1.0
35,3,3.0,0.0,1,5,1,8,2,1,1,5,0,2,1,1,1,0,22,2,3,1,3.0,6.521512483,10,0,0.0,0.0
21,3,2.0,0.0,3,5,0,2,0,0,0,4,0,0,0,0,0,0,100,2,3,1,2.0,4.263060223,2,0,0.0,2.0
35,1,1.0,0.0,6,2,0,2,0,0,0,2,0,0,0,0,0,0,75,2,40,1,1.0,6.521512483,2,0,0.0,2.0
35,2,1.0,1.0,1,5,1,11,4,1,1,4,2,2,1,1,1,2,45,1,3,1,2.0,10.49669737,15,0,1.0,0.0
35,1,0.0,1.0,5,4,0,2,0,0,0,3,0,0,0,0,0,0,100,1,40,1,1.0,7.781739015,2,0,12.0,2.0
35,2,1.0,1.0,2,5,1,10,0,1,0,4,2,2,1,0,0,0,75,2,40,1,2.0,13.98126763,10,0,1.0,0.0
35,1,0.0,1.0,4,1,1,4,0,1,0,5,2,2,0,0,0,0,75,2,40,2,1.0,8.356929506,4,0,12.0,1.0
35,2,1.0,0.0,5,4,1,7,0,0,0,4,0,0,0,0,0,0,100,2,40,1,1.0,3.221345731,7,0,0.0,2.0
55,1,1.0,0.0,4,1,0,2,0,1,1,4,2,2,0,0,0,0,75,2,3,1,1.0,7.781739015,2,0,0.0,1.0
35,1,0.0,1.0,6,1,0,2,0,0,0,4,0,0,0,0,0,0,100,2,10,1,1.0,4.760582619,2,0,12.0,1.0
35,2,1.0,1.0,5,5,1,15,0,0,0,3,0,0,0,0,0,0,22,2,10,1,2.0,10.49669737,15,0,1.0,1.0
35,3,2.0,2.0,3,5,1,12,0,1,1,5,2,2,0,0,0,2,75,3,10,2,4.0,6.521512483,12,0,1.0,0.0
35,2,1.0,1.0,1,5,1,7,0,1,1,5,2,2,1,0,0,0,45,2,40,1,2.0,6.521512483,7,0,1.0,0.0
35,3,1.0,2.0,4,1,0,6,0,0,0,4,0,0,0,0,0,0,100,2,10,1,3.0,7.781739015,6,0,2.0,1.0
35,1,0.0,1.0,1,1,0,1,0,0,0,4,0,0,0,0,0,0,75,2,3,1,1.0,4.760582619,1,0,12.0,0.0
35,3,2.0,0.0,2,5,1,8,6,1,0,4,2,0,1,0,1,0,45,2,10,1,2.0,3.221345731,14,0,0.0,0.0
35,2,1.0,1.0,1,5,1,6,0,1,0,5,2,2,1,0,0,0,100,2,40,1,2.0,3.221345731,6,0,1.0,0.0
35,2,1.0,1.0,1,5,1,6,5,1,1,5,2,2,1,1,1,2,22,1,3,1,2.0,6.521512483,11,0,1.0,0.0
35,3,2.0,1.0,1,5,1,3,0,0,0,4,0,0,0,0,0,0,75,2,10,1,3.0,4.791641623,3,0,0.5,1.0
21,1,1.0,0.0,6,2,1,30,3,0,0,5,0,0,0,0,0,0,75,1,10,1,1.0,10.49669737,33,0,0.0,1.0
9,1,0.0,1.0,1,5,1,12,0,1,1,3,2,2,1,1,1,2,100,2,10,1,1.0,1.800526697,12,0,12.0,0.0
35,1,0.0,1.0,3,4,1,0,7,0,0,4,0,0,0,0,0,0,45,2,22,1,1.0,6.66460256,7,0,12.0,1.0
35,1,0.0,1.0,3,4,1,90,0,0,0,3,0,0,0,0,0,0,75,2,22,1,1.0,4.615932526,90,0,12.0,1.0
35,3,1.0,1.0,3,5,1,6,6,1,0,1,2,2,0,1,1,0,75,2,3,1,2.0,6.66460256,12,0,1.0,2.0
70,3,3.0,1.0,1,5,1,10,0,0,0,5,0,0,0,0,0,0,75,2,3,1,4.0,5.646109133,10,0,0.3333333333333333,1.0
55,3,1.0,1.0,2,5,1,11,0,1,0,5,2,0,1,0,1,1,75,2,3,1,2.0,10.49669737,11,0,1.0,0.0
55,1,0.0,1.0,5,2,1,0,2,1,1,5,2,2,1,0,0,0,100,2,10,2,1.0,6.66460256,2,0,12.0,2.0
55,1,0.0,1.0,3,4,0,2,0,0,0,4,0,0,0,0,0,0,75,2,10,1,1.0,6.084577464,2,0,12.0,2.0
55,1,0.0,1.0,1,5,0,7,0,1,0,5,2,2,0,1,0,0,75,3,40,2,1.0,6.66460256,7,0,12.0,0.0
55,3,2.0,1.0,5,5,1,0,7,1,1,5,2,2,1,0,1,2,75,2,10,1,3.0,6.66460256,7,0,0.5,0.0
35,1,0.0,1.0,2,5,1,11,0,0,0,4,0,0,0,0,0,0,22,2,22,1,1.0,10.49669737,11,0,12.0,1.0
35,1,0.0,1.0,3,1,0,7,0,0,0,4,0,0,0,0,0,0,45,1,10,1,1.0,6.359114199,7,0,12.0,1.0
55,1,0.0,1.0,3,5,0,30,0,0,0,4,0,0,0,0,0,0,75,2,40,1,1.0,6.66460256,30,0,12.0,1.0
35,1,0.0,1.0,2,5,1,15,0,0,0,4,0,1,0,0,0,0,100,2,3,1,1.0,1.800526697,15,0,12.0,1.0
55,3,1.0,0.0,1,5,1,13,8,1,0,5,2,2,1,1,1,0,75,2,40,1,1.0,10.49669737,21,0,0.0,0.0
35,3,0.0,2.0,3,5,1,25,0,1,0,4,2,2,1,1,1,0,22,3,22,2,2.0,8.356929506,25,0,12.0,0.0
55,3,0.0,0.0,1,5,1,10,3,1,0,5,2,2,1,1,1,0,22,2,22,2,0.0,13.98126763,13,0,12.0,0.0
55,2,1.0,1.0,3,5,1,0,7,1,1,5,2,2,0,0,1,0,100,2,40,2,2.0,6.66460256,7,0,1.0,0.0
35,3,2.0,2.0,1,4,0,90,0,0,0,4,0,0,0,0,0,0,75,3,10,1,4.0,5.646109133,90,0,1.0,2.0
70,3,1.0,0.0,1,5,1,12,0,1,0,5,2,2,1,1,1,0,100,2,10,1,1.0,6.521512483,12,0,0.0,0.0
70,3,2.0,1.0,1,5,1,14,0,1,1,5,2,2,1,1,1,2,100,2,40,1,3.0,5.646109133,14,0,0.5,0.0
35,1,1.0,0.0,1,5,0,32,43,1,0,1,2,2,1,1,1,0,75,3,40,1,1.0,10.49669737,75,0,0.0,0.0
35,3,3.0,3.0,5,5,0,11,3,0,0,4,0,0,0,0,0,0,11,2,10,1,6.0,10.49669737,14,0,1.0,0.0
55,3,2.0,3.0,1,5,1,10,5,1,1,5,2,2,1,1,1,2,75,2,40,1,5.0,3.221345731,15,0,1.5,0.0
70,3,1.0,1.0,1,5,1,7,0,1,1,5,2,2,0,0,0,0,100,1,3,1,2.0,5.646109133,7,0,1.0,0.0
55,3,5.0,6.0,1,5,1,9,1,0,0,4,0,0,0,0,0,0,75,3,40,1,11.0,5.646109133,10,0,1.2,0.0
21,1,1.0,0.0,3,5,1,2,0,0,0,5,0,0,0,0,0,0,75,2,10,1,1.0,13.98126763,2,0,0.0,2.0
35,3,0.0,2.0,3,2,1,5,0,0,0,5,0,0,0,0,0,0,22,2,10,1,2.0,8.356929506,5,0,12.0,1.0
55,3,2.0,2.0,1,5,1,13,0,0,0,4,0,0,0,0,0,0,11,1,40,1,4.0,6.317842213,13,0,1.0,1.0
70,3,1.0,2.0,1,5,1,6,0,0,0,5,0,0,0,0,0,0,22,2,10,1,3.0,3.221345731,6,0,2.0,1.0
55,1,0.0,1.0,1,1,0,10,6,1,0,5,2,2,0,1,1,0,100,2,10,1,1.0,10.49669737,16,0,12.0,1.0
21,2,1.0,1.0,3,5,1,0,6,0,0,5,0,0,0,0,0,0,75,3,10,1,2.0,5.646109133,6,0,1.0,0.0
35,1,1.0,0.0,3,5,0,43,0,0,0,5,0,1,0,0,0,0,75,2,40,1,1.0,10.49669737,43,0,0.0,1.0
35,1,1.0,0.0,2,2,0,4,0,0,0,4,0,0,0,0,0,0,45,3,10,1,1.0,10.49669737,4,0,0.0,1.0
35,2,1.0,1.0,1,5,1,4,0,1,1,4,2,2,1,1,0,0,75,2,22,1,2.0,10.49669737,4,0,1.0,0.0
55,3,3.0,3.0,3,5,1,5,7,1,1,5,2,2,1,0,1,2,75,2,3,1,6.0,6.317842213,12,0,1.0,1.0
55,3,0.0,2.0,3,1,0,3,0,0,0,4,0,0,0,0,0,0,11,1,40,1,2.0,4.760582619,3,0,12.0,2.0
55,1,0.0,1.0,6,3,0,3,0,0,0,4,0,0,0,0,0,0,22,2,22,1,1.0,6.084577464,3,0,12.0,2.0
35,1,1.0,0.0,6,4,0,12,0,0,0,4,0,0,0,0,0,0,100,2,22,1,1.0,10.49669737,12,0,0.0,1.0
55,1,0.0,1.0,1,1,1,9,0,0,0,5,0,0,0,0,0,0,100,2,40,1,1.0,12.61172188,9,0,12.0,1.0
55,1,0.0,1.0,6,2,0,5,0,1,1,5,2,0,0,0,0,2,11,2,40,1,1.0,5.646109133,5,0,12.0,0.0
55,1,0.0,1.0,5,2,1,7,0,0,0,4,0,0,0,0,0,0,100,2,10,1,1.0,7.781739015,7,0,12.0,2.0
35,1,0.0,1.0,1,1,0,3,0,0,0,5,0,0,0,0,0,0,100,2,3,1,1.0,6.359114199,3,0,12.0,1.0
35,3,2.0,2.0,1,3,0,90,0,0,0,4,0,0,0,0,0,0,100,3,22,1,4.0,3.221345731,90,0,1.0,2.0
70,3,2.0,0.0,1,5,1,4,0,1,0,5,2,2,1,1,1,0,100,2,3,1,2.0,6.521512483,4,0,0.0,0.0
55,3,2.0,2.0,3,5,1,0,7,1,1,5,2,2,0,0,0,0,75,2,10,1,4.0,6.66460256,7,0,1.0,0.0
35,3,2.0,1.0,1,5,1,8,0,1,1,4,2,2,1,1,1,0,75,1,10,1,3.0,10.49669737,8,0,0.5,0.0
55,2,1.0,1.0,1,5,1,13,4,0,0,4,0,0,0,0,0,0,75,2,3,1,2.0,10.49669737,17,0,1.0,1.0
35,3,2.0,0.0,3,4,0,16,0,0,0,4,0,0,0,0,0,0,22,2,3,1,2.0,6.66460256,16,0,0.0,1.0
55,1,0.0,1.0,6,2,0,29,0,0,0,3,0,0,0,0,0,0,22,2,10,1,1.0,10.49669737,29,0,12.0,1.0
35,1,0.0,1.0,5,1,0,6,0,0,0,4,0,0,0,0,0,0,100,2,10,2,1.0,6.359114199,6,0,12.0,1.0
55,1,0.0,1.0,6,1,1,4,0,0,0,4,0,0,0,0,0,0,75,2,10,1,1.0,4.615932526,4,0,12.0,1.0
35,2,1.0,1.0,1,5,1,15,12,0,0,3,0,0,0,0,0,0,75,3,10,1,2.0,9.494009243,27,0,1.0,0.0
35,3,1.0,1.0,3,5,1,2,0,0,0,4,0,0,0,0,0,0,75,2,10,2,2.0,10.24307815,2,0,1.0,2.0
55,1,1.0,0.0,4,1,0,2,0,1,0,4,2,2,1,0,0,0,22,3,10,1,1.0,6.317842213,2,0,0.0,1.0
35,3,2.0,2.0,6,3,1,2,0,0,0,5,0,0,0,0,0,0,100,2,10,1,4.0,7.781739015,2,0,1.0,1.0
21,3,4.0,0.0,5,5,1,27,0,0,0,4,0,0,0,0,0,0,45,2,40,1,4.0,6.317842213,27,0,0.0,1.0
35,1,0.0,1.0,1,1,1,2,0,0,0,4,0,0,0,0,0,0,45,2,40,1,1.0,4.760582619,2,0,12.0,1.0
35,2,0.0,1.0,2,3,0,33,0,0,0,3,0,0,0,0,0,0,75,2,40,1,1.0,10.49669737,33,0,12.0,1.0
55,2,1.0,1.0,1,5,1,7,0,1,0,5,2,2,1,1,1,0,75,3,3,1,2.0,10.49669737,7,0,1.0,0.0
35,1,0.0,1.0,6,3,0,2,0,0,0,4,0,0,0,0,0,0,22,2,3,1,1.0,6.359114199,2,0,12.0,2.0
35,3,1.0,2.0,1,5,1,14,7,0,0,4,0,0,0,0,0,0,100,3,3,1,3.0,6.66460256,21,0,2.0,1.0
21,3,1.0,0.0,5,5,1,9,0,0,0,4,0,0,0,0,0,1,100,3,10,1,1.0,10.49669737,9,0,0.0,2.0
21,1,0.0,1.0,1,4,0,25,0,0,0,4,0,0,0,0,0,0,45,2,22,1,1.0,1.800526697,25,0,12.0,1.0
55,1,0.0,1.0,2,1,1,3,0,0,0,5,0,0,0,0,0,0,75,2,10,1,1.0,5.646109133,3,0,12.0,2.0
35,1,0.0,1.0,1,4,0,4,0,0,0,4,0,0,0,0,0,0,100,2,10,1,1.0,5.646109133,4,0,12.0,1.0
55,2,1.0,1.0,1,5,1,7,4,1,1,5,2,2,1,1,1,2,75,2,22,1,2.0,6.521512483,11,0,1.0,0.0
35,1,1.0,0.0,4,5,1,9,0,1,1,5,2,2,1,1,1,2,100,2,3,2,1.0,10.49669737,9,0,0.0,1.0
21,1,1.0,0.0,3,4,1,4,0,0,0,4,0,0,0,0,0,0,75,2,40,1,1.0,10.49669737,4,0,0.0,2.0
55,2,1.0,1.0,1,5,0,8,10,1,1,5,2,2,1,1,1,2,11,2,3,1,2.0,2.779055348,18,0,1.0,0.0
35,1,1.0,0.0,6,1,0,3,0,0,0,4,0,0,0,0,0,0,100,1,3,1,1.0,6.359114199,3,0,0.0,1.0
55,2,1.0,1.0,1,5,0,14,0,1,1,5,0,0,1,0,0,2,22,2,40,1,2.0,6.317842213,14,0,1.0,0.0
35,1,0.0,1.0,5,1,1,4,0,0,0,4,0,0,0,0,0,0,22,2,40,1,1.0,4.760582619,4,0,12.0,2.0
55,2,1.0,1.0,1,5,1,11,0,1,1,5,2,2,1,0,0,2,100,3,10,1,2.0,6.66460256,11,0,1.0,0.0
21,3,2.0,0.0,3,5,1,0,5,0,0,4,0,0,0,0,0,0,100,1,40,1,2.0,6.521512483,5,0,0.0,1.0
35,2,1.0,1.0,4,5,1,5,0,1,1,4,2,2,1,0,1,0,100,2,40,1,2.0,10.49669737,5,0,1.0,0.0
21,1,1.0,0.0,2,5,1,13,0,0,0,5,0,0,0,0,0,1,100,2,40,2,1.0,6.521512483,13,0,0.0,1.0
55,1,0.0,1.0,1,5,1,7,0,1,1,4,2,2,1,1,1,2,11,2,10,1,1.0,10.49669737,7,0,12.0,0.0
55,3,2.0,2.0,1,5,1,10,0,1,0,5,0,0,0,0,0,0,75,2,40,1,4.0,6.521512483,10,0,1.0,0.0
55,2,1.0,1.0,1,5,1,10,0,1,0,5,2,2,0,0,0,1,22,3,22,1,2.0,6.521512483,10,0,1.0,0.0
21,2,1.0,1.0,3,5,1,0,7,0,0,3,0,0,0,0,0,0,45,2,22,1,2.0,5.69267197,7,0,1.0,1.0
70,1,0.0,1.0,6,4,1,2,0,0,0,4,0,0,0,0,0,0,22,2,3,1,1.0,6.084577464,2,0,12.0,2.0
35,1,0.0,1.0,2,2,1,11,0,0,1,3,2,2,0,0,0,0,100,2,10,1,1.0,10.24307815,11,0,12.0,0.0
35,3,1.0,1.0,3,5,1,0,4,1,1,5,2,2,1,0,0,2,22,1,22,1,2.0,10.49669737,4,0,1.0,0.0
35,1,0.0,1.0,1,5,1,5,0,1,0,5,2,2,1,1,1,0,45,2,40,1,1.0,3.221345731,5,0,12.0,1.0
35,3,3.0,0.0,2,5,0,14,0,0,0,5,0,0,0,0,0,0,100,2,40,1,3.0,6.521512483,14,0,0.0,0.0
35,3,0.0,2.0,3,5,0,2,13,0,0,4,0,0,0,0,0,0,22,3,10,2,2.0,6.66460256,15,0,12.0,1.0
35,2,1.0,1.0,2,5,1,8,0,1,1,5,2,2,1,0,1,0,75,3,22,1,2.0,6.521512483,8,0,1.0,0.0
55,1,1.0,0.0,3,5,0,3,7,0,1,5,2,0,0,0,0,0,45,2,3,1,1.0,5.646109133,10,0,0.0,2.0
35,1,1.0,0.0,3,4,0,150,0,0,0,4,0,0,0,0,0,0,75,3,10,1,1.0,8.356929506,150,0,0.0,0.0
55,3,0.0,3.0,2,4,1,6,0,0,0,5,0,0,0,0,0,0,75,2,20,1,3.0,10.4579401,6,0,12.0,0.0
35,1,1.0,0.0,3,5,1,1,1,1,1,5,2,2,1,1,1,2,75,2,10,1,1.0,7.781739015,2,0,0.0,1.0
55,1,0.0,1.0,4,5,1,17,0,1,1,5,2,2,1,0,0,0,11,1,10,1,1.0,10.49669737,17,0,12.0,0.0
35,1,1.0,0.0,3,4,0,6,0,0,0,4,0,0,0,0,0,0,100,3,3,1,1.0,7.781739015,6,0,0.0,2.0
21,1,0.0,1.0,3,5,1,26,7,0,0,4,0,0,0,0,0,0,45,2,10,1,1.0,6.66460256,33,0,12.0,1.0
35,1,0.0,1.0,1,5,0,7,0,1,0,4,0,2,1,1,0,2,100,2,40,1,1.0,4.791641623,7,0,12.0,1.0
35,2,1.0,1.0,3,5,0,0,19,1,1,5,2,2,0,0,0,0,22,2,10,1,2.0,6.66460256,19,0,1.0,0.0
35,2,1.0,1.0,3,5,0,0,7,0,0,3,0,0,0,0,0,0,100,3,10,1,2.0,6.521512483,7,0,1.0,1.0
21,3,1.0,2.0,3,5,1,8,2,1,1,5,2,2,1,0,0,0,100,3,40,1,3.0,6.317842213,10,0,2.0,0.0
55,1,0.0,1.0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,100,2,40,2,1.0,5.646109133,1,0,12.0,2.0
55,3,0.0,2.0,2,5,1,11,0,1,0,5,2,2,1,0,1,0,22,2,3,1,2.0,5.695767704,11,0,12.0,0.0
55,1,0.0,1.0,1,5,1,4,0,1,0,5,2,2,1,0,1,2,75,2,40,1,1.0,10.49669737,4,0,12.0,1.0
55,3,1.0,1.0,1,5,1,9,3,1,1,5,2,2,0,0,1,2,22,3,40,1,2.0,6.317842213,12,0,1.0,0.0
35,1,0.0,1.0,1,1,1,4,0,0,0,5,0,0,0,0,0,0,75,2,40,2,1.0,4.760582619,4,0,12.0,1.0
55,2,1.0,1.0,1,5,1,7,0,1,1,5,2,2,1,1,1,0,75,2,22,1,2.0,10.49669737,7,0,1.0,0.0
35,1,0.0,1.0,3,1,0,2,0,0,0,4,0,0,0,0,0,0,75,1,3,1,1.0,4.760582619,2,0,12.0,2.0
35,1,0.0,1.0,1,2,0,3,0,0,0,5,0,0,0,0,0,0,22,2,40,2,1.0,7.781739015,3,0,12.0,1.0
55,3,1.0,2.0,3,5,1,0,14,1,1,5,2,2,1,0,0,0,75,2,40,1,3.0,6.66460256,14,0,2.0,0.0
55,1,0.0,1.0,1,5,1,7,8,1,1,5,2,2,1,1,1,0,22,2,40,1,1.0,10.49669737,15,0,12.0,0.0
35,1,0.0,1.0,3,5,0,3,0,0,0,5,0,0,0,0,0,0,22,2,10,1,1.0,6.359114199,3,0,12.0,2.0
55,1,0.0,1.0,1,1,1,6,0,0,0,4,0,0,0,0,0,0,45,2,10,1,1.0,6.317842213,6,0,12.0,1.0
35,3,3.0,1.0,3,5,1,0,7,1,1,5,2,2,1,0,0,0,75,3,10,1,4.0,6.66460256,7,0,0.3333333333333333,0.0
55,1,0.0,1.0,6,3,0,3,0,0,0,3,0,0,0,0,0,0,75,2,10,1,1.0,4.760582619,3,0,12.0,2.0
35,3,0.0,2.0,1,5,1,8,5,0,0,5,0,0,0,0,0,0,11,2,10,1,2.0,7.781739015,13,0,12.0,1.0
21,1,0.0,1.0,1,5,1,29,0,0,0,5,0,0,0,0,0,0,100,2,3,1,1.0,10.49669737,29,0,12.0,1.0
35,3,3.0,2.0,1,5,1,7,3,1,1,5,2,0,1,1,1,0,22,3,3,1,5.0,6.521512483,10,0,0.6666666666666666,0.0
21,3,2.0,3.0,6,3,1,0,14,1,1,5,2,2,0,0,0,0,75,2,10,1,5.0,6.66460256,14,0,1.5,0.0
55,1,0.0,1.0,6,1,0,4,0,0,0,4,0,0,0,0,0,0,100,2,22,1,1.0,6.359114199,4,0,12.0,1.0
21,3,1.0,1.0,3,5,1,0,7,1,1,4,2,2,1,0,0,0,75,2,10,1,2.0,6.66460256,7,0,1.0,0.0
35,3,1.0,3.0,1,1,1,5,0,0,0,5,0,0,0,0,0,0,100,2,3,2,4.0,5.646109133,5,0,3.0,2.0
55,3,1.0,1.0,1,1,1,4,0,0,0,4,0,0,0,0,0,0,75,2,10,2,2.0,4.760582619,4,0,1.0,1.0
35,3,2.0,3.0,1,5,1,9,5,1,1,5,2,2,1,1,0,0,100,1,40,1,5.0,12.61172188,14,0,1.5,0.0
55,3,1.0,1.0,3,4,0,3,0,0,0,4,0,0,0,0,0,0,75,2,10,1,2.0,5.646109133,3,0,1.0,0.0
55,2,1.0,1.0,1,5,1,7,0,1,1,5,2,2,1,1,1,0,75,2,10,2,2.0,10.49669737,7,0,1.0,0.0
35,1,0.0,1.0,1,1,0,4,0,0,0,4,0,0,0,0,0,0,75,2,22,1,1.0,6.359114199,4,0,12.0,1.0
70,1,1.0,0.0,5,4,1,21,0,0,0,4,0,0,0,0,0,0,22,2,10,2,1.0,10.49669737,21,0,0.0,2.0
55,2,1.0,1.0,5,5,1,0,21,1,1,5,2,1,1,1,1,0,75,2,22,1,2.0,6.317842213,21,0,1.0,0.0
21,1,1.0,0.0,1,5,1,7,4,1,0,5,2,2,1,0,1,2,75,2,10,1,1.0,13.98126763,11,0,0.0,0.0
55,2,1.0,1.0,3,5,1,0,7,1,1,4,2,2,0,0,0,2,22,2,40,1,2.0,6.66460256,7,0,1.0,0.0
35,1,0.0,1.0,1,5,1,16,4,0,0,4,0,0,0,0,0,0,75,3,22,1,1.0,10.49669737,20,0,12.0,1.0
21,3,1.0,1.0,1,5,1,28,0,0,0,4,0,0,0,0,0,0,4,3,3,2,2.0,4.791641623,28,1,1.0,1.0
35,1,0.0,1.0,3,2,0,5,0,0,0,4,0,0,0,0,0,0,75,2,3,1,1.0,6.359114199,5,0,12.0,1.0
55,2,1.0,1.0,1,5,0,3,0,1,1,5,2,2,1,1,0,2,100,2,10,1,2.0,6.66460256,3,0,1.0,0.0
